#;bloc;variety;culture;Echantillon;Modality;H_tige_AV;D_collet_AV;Nb_feuilles_AV;poids_frais;poids_sec;Larves;Sample ID;Glucoraphanin;Progoitrin isomer;Glucoalyssin;Gluconapoleiferin;Gluconapin;Butyl-GS;Glucobrassicanapin;Glucobrassicin;Gluconasturtiin;Methoxyglucobrassicin;Neoglucobrassicin;Unknown GLS (C16H20N2O11S2);Total
58;4;2;mono;A;mono 2 A;10.85333333;8;7.333333333;81.9;15.1;7;240108_LM_GLS_colza_sample_58;39.40520446;216.3568773;178.0669145;13.75464684;139.4052045;3.717472119;101.4869888;527.8810409;59.10780669;20.81784387;225.2788104;14.49814126;1539.776952
59;4;2;mono;B;mono 2 B;15.207;13.5;10;175;30.7;12;240108_LM_GLS_colza_sample_59;69.12280702;290.1754386;378.245614;10.52631579;284.2105263;5.263157895;94.73684211;286.3157895;25.26315789;18.24561404;80.70175439;4.561403509;1547.368421
60;4;2;mono;C;mono 2 C;15.03;7.833333333;10.33333333;88.4;16.6;11;240108_LM_GLS_colza_sample_60;36.74242424;319.3181818;349.6212121;12.87878788;272.3484848;2.272727273;146.5909091;272.3484848;26.89393939;18.93939394;106.0606061;6.439393939;1570.454545
61;4;1;mono;A;mono 1 A;21.17666667;22.66666667;13;309.5;60.5;1;240108_LM_GLS_colza_sample_61;24.08874802;189.8573693;173.0586371;14.26307448;156.2599049;5.071315372;211.0935024;573.6925515;30.42789223;28.84310618;416.481775;6.973058637;1830.110935
62;4;1;mono;B;mono 1 B;15.86333333;20.33333333;9;295.1;61;7;240108_LM_GLS_colza_sample_62;28.61271676;156.6473988;198.265896;11.2716763;152.0231214;1.734104046;133.5260116;597.9768786;30.92485549;24.27745665;645.0867052;3.468208092;1983.815029
63;4;1;mono;C;mono 1 C;14.21666667;20.66666667;10;276.6;53.8;4;240108_LM_GLS_colza_sample_63;38.78787879;157.1717172;188.2828283;15.75757576;124.040404;0;116.7676768;531.7171717;34.74747475;18.98989899;509.8989899;8.888888889;1745.050505
64;4;3;asso;A;asso 3 A;12.97666667;17.33333333;9.333333333;184.1;32.1;1;240108_LM_GLS_colza_sample_64;35.68773234;254.2750929;240.5204461;19.33085502;209.2936803;1.486988848;146.4684015;522.3048327;63.19702602;33.82899628;826.7657993;7.434944238;2360.594796
65;4;3;asso;B;asso 3 B;17.88333333;26.5;11;378.2;62.1;5;240108_LM_GLS_colza_sample_65;13.84335155;134.7905282;151.1839709;13.47905282;108.9253188;2.18579235;109.6539162;366.1202186;40.07285974;24.04371585;536.9763206;6.193078324;1507.468124
66;4;3;asso;C;asso 3 C;9.873333333;16;7.333333333;117.9;19.7;2;240108_LM_GLS_colza_sample_66;15.41501976;126.4822134;92.09486166;16.60079051;54.15019763;1.185770751;50.59288538;511.8577075;17.78656126;26.87747036;926.0869565;3.557312253;1842.687747
67;4;2;asso;A;asso 2 A;8.59;6.666666667;5.666666667;38.7;6.2;2;240108_LM_GLS_colza_sample_67;120.5047319;609.148265;633.1230284;24.92113565;586.7507886;9.463722397;259.3059937;572.2397476;68.13880126;28.07570978;272.2397476;15.14195584;3199.053628
68;4;2;asso;B;asso 2 B;17.48666667;13.16666667;11.33333333;265.2;40.6;37;240108_LM_GLS_colza_sample_68;67.35112936;236.1396304;253.798768;11.49897331;205.338809;4.106776181;98.97330595;433.6755647;27.51540041;22.17659138;179.4661191;5.749486653;1545.790554
69;4;2;asso;C;asso 2 C;14.49666667;10.33333333;8.666666667;145.5;21.9;14;240108_LM_GLS_colza_sample_69;84.5124283;472.2753346;435.1816444;27.5334608;281.4531549;3.4416826;189.6749522;736.1376673;58.89101338;27.5334608;340.3441683;8.413001912;2665.391969
70;4;1;asso;A;asso 1 A;11.25666667;18.83333333;9;110.2;19.3;0;240108_LM_GLS_colza_sample_70;25;191.1290323;128.6290323;20.56451613;112.9032258;0.403225806;185.0806452;439.1129032;19.35483871;14.11290323;364.9193548;4.435483871;1505.645161
71;4;1;asso;B;asso 1 B;16.00666667;19.66666667;11;249.8;42.3;8;240108_LM_GLS_colza_sample_71;23.45276873;326.3843648;224.7557003;28.33876221;201.6286645;2.605863192;270.3583062;512.7035831;32.5732899;21.17263844;578.5016287;7.166123779;2229.641694
72;4;1;asso;C;asso 1 C;13.86;18.16666667;8;110.1;22.9;3;240108_LM_GLS_colza_sample_72;31.04;445.76;316.48;30.08;288.32;0.64;369.6;857.92;48.32;26.88;685.44;4.8;3105.28
